Borough,Street_Names,All_Lines,Line1,Line2,Line3,Line4,Line5,Line6,Line7,Year,Quarter,American Indian,Asian/Pac Isl,Black,Hispanic,Unknown,White,Grand Total
Bronx,PELHAM PKWY.,"2,5",2,5,NA,NA,NA,NA,NA,2018,1,0,0,2,2,0,0,4
Bronx,PELHAM PKWY.,5,5,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,1,0,0,1
Bronx,PROSPECT AVENUE,"2,5",2,5,NA,NA,NA,NA,NA,2018,1,0,0,11,14,0,1,26
Bronx,SIMPSON STREET,"2,5",2,5,NA,NA,NA,NA,NA,2018,1,0,0,11,12,0,1,24
Bronx,SOUNDVIEW AVENUE,6,6,NA,NA,NA,NA,NA,NA,2018,1,0,0,3,6,0,0,9
Bronx,ST. LAWRENCE AVENUE,6,6,NA,NA,NA,NA,NA,NA,2018,1,0,0,3,7,0,0,10
Bronx,TREMONT AVENUE,"B,D",B,D,NA,NA,NA,NA,NA,2018,1,0,0,35,33,2,1,71
Bronx,WHITLOCK AVENUE,6,6,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,1,0,0,1
Bronx,WOODLAWN,4,4,NA,NA,NA,NA,NA,NA,2018,1,0,0,5,2,0,3,10
Brooklyn,18 AVENUE,D,D,NA,NA,NA,NA,NA,NA,2018,1,0,8,1,6,1,6,22
Brooklyn,18 AVENUE,F,F,NA,NA,NA,NA,NA,NA,2018,1,0,1,0,0,0,0,1
Brooklyn,20 AVENUE,D,D,NA,NA,NA,NA,NA,NA,2018,1,0,1,0,3,1,7,12
Brooklyn,20 AVENUE,N,N,NA,NA,NA,NA,NA,NA,2018,1,0,6,0,2,1,1,10
Brooklyn,25 AVENUE,D,D,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,1,0,3,4
Brooklyn,25 STREET,R,R,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,2,0,1,3
Brooklyn,36 STREET,"D,N,R",D,N,R,NA,NA,NA,NA,2018,1,0,4,11,19,1,10,45
