Year,Quarter,final_Borough,final_Street_Names,final_All_Lines,American Indian_arrests,Black_arrests,Hispanic_arrests,Unknown_arrests,White_arrests,Grand Total_arrests,American Indian_summonses,Black_summonses,Hispanic_summonses,Unknown_summonses,White_summonses,Grand Total_summonses
2018,1,Brooklyn,20 AVENUE,D,0,0,0,0,2,2,0,0,3,1,7,12
2018,1,Brooklyn,25 AVENUE,D,0,1,0,0,1,2,0,0,1,0,3,4
2018,1,Brooklyn,25 STREET,R,0,0,1,0,1,2,0,0,2,0,1,3
2018,1,Brooklyn,36 STREET,"D,N,R",0,0,2,0,3,5,0,11,19,1,10,45
2018,1,Brooklyn,4 AVENUE-9 STREET,"F,G",0,1,0,0,0,1,0,3,3,0,6,13
2018,1,Brooklyn,45 STREET,R,0,3,5,0,0,8,0,1,11,0,0,13
2018,1,Brooklyn,53 STREET,R,0,4,3,0,0,7,0,0,18,0,1,23
2018,1,Brooklyn,59 STREET,"N,R",0,1,12,1,5,20,0,4,35,3,12,68
2018,1,Brooklyn,7 AVENUE,"F,G",0,1,1,0,0,2,0,1,3,0,1,6
2018,1,Brooklyn,77 STREET,R,0,0,0,0,1,1,0,0,0,0,0,0
2018,1,Brooklyn,86 STREET,N,0,1,0,0,0,1,0,0,1,0,0,1
2018,1,Brooklyn,86 STREET,R,0,1,0,0,0,1,0,4,7,2,6,22
2018,1,Brooklyn,ALABAMA AVENUE,J,0,2,0,0,0,2,0,1,0,0,0,1
2018,1,Brooklyn,ATLANTIC AVENUE,"2,3,4,5",0,4,3,0,1,9,1,43,12,3,11,74
2018,1,Brooklyn,ATLANTIC AVENUE,"B,Q",0,1,0,0,1,2,0,1,0,0,1,2
2018,1,Brooklyn,ATLANTIC AVENUE,L,0,5,2,0,0,7,0,4,1,0,0,5
2018,1,Brooklyn,"AVENUE ""H""",Q,0,1,0,0,0,1,0,1,1,1,3,6
2018,1,Brooklyn,"AVENUE ""J""",Q,0,2,3,0,0,5,0,2,1,0,13,20
2018,1,Brooklyn,"AVENUE ""M""",Q,0,1,1,0,1,3,0,6,4,0,12,23
2018,1,Brooklyn,"AVENUE ""U""",Q,0,0,0,0,1,1,0,0,0,0,3,3
2018,1,Brooklyn,BAY 50 STREET,D,0,11,2,0,2,15,0,3,7,0,4,17
2018,1,Brooklyn,BAY PARKWAY,D,0,1,0,0,1,2,0,0,2,2,0,5
2018,1,Brooklyn,BAY PARKWAY,N,0,2,2,0,0,4,0,1,2,4,7,17
2018,1,Brooklyn,BAY RIDGE AVENUE,R,0,0,1,0,0,1,0,1,1,0,1,3
2018,1,Brooklyn,BEDFORD AVENUE,L,0,1,2,0,0,3,1,9,10,2,16,42
2018,1,Brooklyn,BEDFORD-NOSTRAND AVENUES,G,0,1,0,0,5,6,0,16,12,4,23,57
2018,1,Brooklyn,BERGEN STREET,"2,3",0,0,1,0,0,1,0,11,3,0,4,18
2018,1,Brooklyn,BERGEN STREET,"F,G",0,0,0,0,1,1,0,4,1,1,7,13
2018,1,Brooklyn,BEVERLY ROAD,"2,5",0,1,0,0,0,1,0,6,0,0,0,6
2018,1,Brooklyn,BOROUGH HALL,"2,3,4,5",0,14,3,0,1,18,0,49,23,4,16,97
2018,1,Brooklyn,BRIGHTON BEACH,"B,Q",0,2,0,0,2,4,0,5,12,5,39,63
2018,1,Brooklyn,BROADWAY-EAST NEW YORK,"A,C",0,3,1,0,0,4,0,3,1,0,0,4
2018,1,Brooklyn,CARROLL STREET,"F,G",0,0,0,0,1,1,0,2,4,2,2,10
2018,1,Brooklyn,CHURCH AVENUE,"2,5",0,6,0,0,0,6,0,20,2,0,0,22
2018,1,Brooklyn,CHURCH AVENUE,"B,Q",0,1,1,0,0,2,1,12,5,1,0,19
2018,1,Brooklyn,CLINTON-WASHINGTON AVENUES,C,0,1,0,0,1,2,0,8,4,1,12,25
2018,1,Brooklyn,DEKALB AVENUE,"B,Q,R",0,5,0,0,1,6,0,14,12,5,11,57
2018,1,Brooklyn,DEKALB AVENUE,L,0,0,3,0,2,5,0,1,7,1,5,14
2018,1,Brooklyn,EASTERN PKWY-BROOKLYN MUSEUM,"2,3",0,2,0,0,0,2,0,5,0,0,1,6
2018,1,Brooklyn,EUCLID AVENUE,"A,C",0,12,2,0,1,15,0,1,3,2,0,6
2018,1,Brooklyn,FLATBUSH AVE.-BROOKLYN COLLEGE,"2,5",0,3,1,0,0,4,0,39,6,1,4,50
2018,1,Brooklyn,FLUSHING AVENUE,G,0,0,1,0,0,1,0,4,2,0,2,8
2018,1,Brooklyn,FLUSHING AVENUE,"J,M",0,1,1,0,0,2,0,10,4,0,15,31
2018,1,Brooklyn,FORT HAMILTON PKWY,D,0,0,2,0,0,2,0,0,5,2,6,16
2018,1,Brooklyn,FRANKLIN AVENUE,"2,3,4,5",0,4,0,0,0,4,0,22,3,1,3,32
2018,1,Brooklyn,FRANKLIN AVENUE,C,0,7,2,0,0,9,0,10,2,1,8,22
2018,1,Brooklyn,FULTON STREET,G,0,2,0,0,0,2,0,1,0,0,0,1
2018,1,Brooklyn,GATES AVENUE,"J,Z",0,4,0,0,1,5,0,5,1,0,0,6
2018,1,Brooklyn,GRAHAM AVENUE,L,0,3,0,0,0,3,0,5,3,1,8,18
2018,1,Brooklyn,GRAND ARMY PLAZA,"2,3",0,1,1,0,0,2,0,1,0,0,0,1
2018,1,Brooklyn,GREENPOINT AVENUE,G,0,1,0,0,0,1,0,1,2,0,0,3
2018,1,Brooklyn,HALSEY STREET,L,0,5,5,0,1,11,0,5,2,0,4,12
2018,1,Brooklyn,HIGH STREET,"A,C",0,2,0,0,0,2,0,3,0,0,0,3
2018,1,Brooklyn,HOYT STREET,"2,3",0,1,0,0,0,1,0,4,2,0,1,7
2018,1,Brooklyn,HOYT-SCHERMERHORN,"A,C,G",0,11,3,0,2,16,1,52,24,4,11,97
2018,1,Brooklyn,JAY STREET-BOROUGH HALL,"A,C,F",0,38,13,0,3,55,2,151,76,36,57,370
2018,1,Brooklyn,JEFFERSON STREET,L,0,1,0,0,0,1,0,2,8,0,6,16
2018,1,Brooklyn,JUNIUS STREET,3,0,3,0,0,0,3,0,14,5,0,0,19
2018,1,Brooklyn,KINGS HIGHWAY,"B,Q",0,4,3,0,3,10,0,17,17,5,50,96
2018,1,Brooklyn,KINGSTON-THROOP AVENUES,C,0,4,0,0,0,4,0,5,1,1,3,10
2018,1,Brooklyn,KOSCIUSKO STREET,J,0,9,0,0,3,12,0,6,4,0,0,11
2018,1,Brooklyn,LAFAYETTE AVENUE,C,0,0,1,0,0,1,0,6,3,0,0,9
2018,1,Brooklyn,LAWRENCE STREET,R,0,1,0,0,0,1,0,0,0,0,0,0
2018,1,Brooklyn,LIVONIA AVENUE,L,0,5,1,0,0,6,0,23,5,0,2,30
2018,1,Brooklyn,LORIMER STREET,L,0,1,3,0,0,4,0,3,3,0,11,18
2018,1,Brooklyn,MARCY AVENUE,"J,M,Z",0,1,3,0,0,4,0,10,9,2,15,37
2018,1,Brooklyn,MONTROSE AVENUE,L,0,7,1,0,1,9,0,5,0,0,3,8
2018,1,Brooklyn,MORGAN AVENUE,L,0,6,3,0,2,12,0,7,8,2,14,34
2018,1,Brooklyn,MYRTLE AVENUE,"J,M,Z",0,3,0,0,0,4,0,5,2,0,0,7
2018,1,Brooklyn,MYRTLE-WILLOUGHBY AVENUES,G,0,3,1,0,0,4,0,5,4,1,9,19
2018,1,Brooklyn,MYRTLE/WYCKOFF AVENUES,L,0,8,8,0,1,18,0,19,24,1,15,63
2018,1,Brooklyn,NEVINS STREET,"2,3,4,5",0,13,0,0,0,13,0,34,7,0,1,42
2018,1,Brooklyn,NEWKIRK AVENUE,"B,Q",0,2,1,0,2,6,1,8,5,0,4,18
2018,1,Brooklyn,NORWOOD AVENUE,"J,Z",0,1,0,0,0,1,0,1,0,0,0,1
2018,1,Brooklyn,NOSTRAND AVENUE,3,0,1,0,0,0,1,0,1,0,0,1,2
2018,1,Brooklyn,NOSTRAND AVENUE,"A,C",0,18,9,0,0,27,0,39,12,2,12,68
2018,1,Brooklyn,OCEAN PKWY,Q,0,0,0,0,2,2,0,1,0,0,5,7
2018,1,Brooklyn,PACIFIC STREET,"D,N,R",0,2,0,0,0,2,0,5,3,1,3,12
2018,1,Brooklyn,PARKSIDE AVENUE,Q,0,3,0,0,1,4,0,1,1,0,1,3
2018,1,Brooklyn,PENNSYLVANIA AVENUE,3,0,1,0,0,0,1,0,0,0,0,0,0
2018,1,Brooklyn,PRESIDENT STREET,"2,5",0,1,0,0,0,1,0,1,0,0,1,2
2018,1,Brooklyn,PROSPECT PARK,"B,Q,S",0,2,1,0,0,3,0,25,0,2,2,29
2018,1,Brooklyn,RALPH AVENUE,C,0,7,2,0,0,9,0,8,1,0,0,9
2018,1,Brooklyn,ROCKAWAY AVENUE,3,0,13,0,0,0,13,0,20,3,0,0,23
2018,1,Brooklyn,ROCKAWAY AVENUE,C,0,1,0,0,0,1,0,0,0,0,0,0
2018,1,Brooklyn,ROCKAWAY PKWY-CANARSIE,L,0,20,2,0,0,22,0,39,6,0,2,47
2018,1,Brooklyn,SARATOGA AVENUE,3,0,10,1,0,0,11,0,8,1,0,1,10
2018,1,Brooklyn,SHEEPSHEAD BAY,"B,Q",0,6,2,0,4,12,1,11,11,2,27,58
2018,1,Brooklyn,SMITH-9 STREETS,"F,G",0,1,2,0,1,4,0,5,7,2,6,20
2018,1,Brooklyn,STERLING STREET,"2,5",0,2,0,0,0,2,0,0,0,0,0,0
2018,1,Brooklyn,STILLWELL AVENUE-CONEY ISLAND,"D,F,N,Q",0,22,10,0,3,35,1,40,18,4,25,93
2018,1,Brooklyn,SUTTER AVENUE,L,0,9,0,0,0,9,0,4,4,0,1,9
2018,1,Brooklyn,SUTTER AVENUE-RUTLAND ROAD,3,0,10,0,0,0,10,0,16,3,2,1,23
2018,1,Brooklyn,UNKNOWN,,0,33,10,1,5,49,0,0,0,0,0,0
2018,1,Brooklyn,UTICA AVE.-CROWN HEIGHTS,"3,4",0,30,3,0,0,33,0,90,23,3,7,123
2018,1,Brooklyn,UTICA AVENUE,"A,C",0,53,3,0,0,56,0,32,4,1,4,42
2018,1,Brooklyn,VAN SICLEN AVENUE,3,0,4,0,0,0,4,0,6,0,0,0,6
2018,1,Brooklyn,VAN SICLEN AVENUE,C,0,9,2,0,0,11,0,6,1,0,0,7
2018,1,Brooklyn,VAN SICLEN AVENUE,"J,Z",0,0,1,0,1,2,0,0,2,0,0,2
2018,1,Brooklyn,WEST 8 STREET-NY AQUARIUM,"Q,F",0,0,1,0,0,1,0,0,1,0,1,2
2018,1,Brooklyn,WILSON AVENUE,L,0,0,1,0,0,1,0,2,0,0,0,2
2018,1,Brooklyn,WINTHROP STREET,"2,5",0,7,0,0,0,7,0,5,2,0,2,9
2018,1,Brooklyn,WYCKOFF AVENUE,M,0,3,1,0,1,5,0,1,0,0,0,1
2018,1,Manhattan,1 AVENUE,L,0,5,0,0,0,5,0,2,1,1,12,16
2018,1,Manhattan,103 STREET,6,0,5,3,0,0,8,0,12,11,0,3,28
2018,1,Manhattan,110 ST.-CATHEDRAL PKWY.,"B,C",0,2,2,0,0,4,0,5,2,0,1,10
2018,1,Manhattan,110 ST.-CENTRAL PARK NORTH,"2,3",0,6,2,0,0,8,0,2,2,0,1,6
2018,1,Manhattan,110 STREET,6,0,13,7,0,1,21,0,15,18,2,4,40
2018,1,Manhattan,116 STREET,"2,3",0,1,0,0,0,1,0,1,0,0,0,1
2018,1,Manhattan,116 STREET,6,0,24,25,0,1,50,0,39,39,1,6,89
2018,1,Manhattan,116 STREET,"B,C",0,4,1,0,0,5,0,6,1,0,2,9
2018,1,Manhattan,125 STREET,"2,3",0,4,2,1,0,7,0,8,2,1,1,12
2018,1,Manhattan,125 STREET,"4,5,6",0,33,24,0,1,58,0,61,32,5,18,119
2018,1,Manhattan,125 STREET,"A,B,C,D",0,12,5,0,0,17,0,63,37,1,20,123
2018,1,Manhattan,135 STREET,"2,3",0,18,2,0,0,20,0,22,6,0,2,30
2018,1,Manhattan,135 STREET,"B,C",0,2,0,0,0,2,0,2,1,0,1,4
2018,1,Manhattan,137 ST.-CITY COLLEGE,1,0,0,1,0,0,1,0,3,5,0,0,8
2018,1,Manhattan,14 ST.-UNION SQUARE,L,0,6,2,0,0,8,0,13,5,3,12,37
2018,1,Manhattan,14 STREET,"1,2,3",0,1,1,1,0,3,0,12,11,3,6,32
2018,1,Manhattan,14 STREET,"4,5,6",0,3,1,0,0,4,4,59,34,8,86,210
2018,1,Manhattan,14 STREET,"A,C,E",0,1,0,0,0,2,0,12,18,7,29,71
2018,1,Manhattan,14 STREET,"F,M",0,0,0,0,1,1,0,6,1,0,1,9
2018,1,Manhattan,145 STREET,3,0,3,0,0,0,3,0,0,0,0,0,0
2018,1,Manhattan,145 STREET,"A,B,C,D",0,5,5,0,0,10,0,19,20,3,6,52
2018,1,Manhattan,157 STREET,1,0,2,3,0,1,6,0,3,11,1,4,20
2018,1,Manhattan,168 ST.-WASHINGTON HTS.,1,0,1,0,0,0,1,0,1,0,0,0,2
2018,1,Manhattan,168 ST.-WASHINGTON HTS.,"A,C",0,3,7,0,0,10,1,12,40,2,9,66
2018,1,Manhattan,175 STREET,A,0,0,1,0,0,1,0,1,3,0,1,5
2018,1,Manhattan,181 STREET,1,0,0,1,0,0,1,0,0,2,0,1,3
2018,1,Manhattan,181 STREET,A,0,0,1,0,0,1,0,3,5,0,5,13
2018,1,Manhattan,191 STREET,1,0,1,0,0,0,1,0,1,2,0,2,6
2018,1,Manhattan,2 AVENUE,F,0,8,4,0,1,13,0,7,5,1,19,35
2018,1,Manhattan,200 ST.-DYCKMAN ST.,A,0,0,1,0,0,1,0,0,4,2,2,8
2018,1,Manhattan,207 ST.-INWOOD,A,0,0,1,0,0,1,0,0,0,0,0,0
2018,1,Manhattan,207 STREET,1,0,0,4,0,0,4,0,1,0,0,1,2
2018,1,Manhattan,23 STREET,1,0,1,0,0,0,1,0,1,0,0,1,2
2018,1,Manhattan,23 STREET,6,0,3,5,0,0,8,0,15,6,2,5,28
2018,1,Manhattan,23 STREET,"C,E",0,8,3,0,1,12,0,11,7,0,10,31
2018,1,Manhattan,23 STREET,"F,M",0,1,0,0,1,2,0,5,2,0,1,11
2018,1,Manhattan,23 STREET,"N,R",0,0,1,0,0,1,0,1,1,0,6,11
2018,1,Manhattan,28 STREET,6,0,20,9,0,1,30,0,26,18,2,29,81
2018,1,Manhattan,28 STREET,"N,R",0,0,1,0,0,2,1,3,3,0,2,9
