Borough,Street_Names,All_Lines,Line1,Line2,Line3,Line4,Line5,Line6,Line7,Year,Quarter,American Indian,Asian/Pac Isl,Black,Hispanic,Unknown,White,Grand Total
Brooklyn,18 AVENUE,D,D,NA,NA,NA,NA,NA,NA,2018,1,0,1,1,1,0,0,3
Brooklyn,20 AVENUE,D,D,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,0,0,2,2
Brooklyn,25 AVENUE,D,D,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,1,2
Brooklyn,25 STREET,R,R,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,1,0,1,2
Brooklyn,36 STREET,"D,N,R",D,N,R,NA,NA,NA,NA,2018,1,0,0,0,2,0,3,5
Brooklyn,4 AVENUE-9 STREET,"F,G",F,G,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Brooklyn,45 STREET,R,R,NA,NA,NA,NA,NA,NA,2018,1,0,0,3,5,0,0,8
Brooklyn,53 STREET,R,R,NA,NA,NA,NA,NA,NA,2018,1,0,0,4,3,0,0,7
Brooklyn,59 STREET,"N,R",N,R,NA,NA,NA,NA,NA,2018,1,0,1,1,12,1,5,20
Brooklyn,7 AVENUE,"F,G",F,G,NA,NA,NA,NA,NA,2018,1,0,0,1,1,0,0,2
Brooklyn,77 STREET,R,R,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,0,0,1,1
Brooklyn,86 STREET,N,N,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Brooklyn,86 STREET,R,R,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Brooklyn,ALABAMA AVENUE,J,J,NA,NA,NA,NA,NA,NA,2018,1,0,0,2,0,0,0,2
Brooklyn,ATLANTIC AVENUE,"2,3,4,5",2,3,4,5,NA,NA,NA,2018,1,0,1,4,3,0,1,9
Brooklyn,ATLANTIC AVENUE,"B,Q",B,Q,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,1,2
Brooklyn,ATLANTIC AVENUE,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,0,5,2,0,0,7
Brooklyn,"AVENUE ""H""",Q,Q,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Brooklyn,"AVENUE ""J""",Q,Q,NA,NA,NA,NA,NA,NA,2018,1,0,0,2,3,0,0,5
Brooklyn,"AVENUE ""M""",Q,Q,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,1,0,1,3
Brooklyn,"AVENUE ""U""",Q,Q,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,0,0,1,1
Brooklyn,BAY 50 STREET,D,D,NA,NA,NA,NA,NA,NA,2018,1,0,0,11,2,0,2,15
Brooklyn,BAY PARKWAY,D,D,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,1,2
Brooklyn,BAY PARKWAY,N,N,NA,NA,NA,NA,NA,NA,2018,1,0,0,2,2,0,0,4
Brooklyn,BAY RIDGE AVENUE,R,R,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,1,0,0,1
Brooklyn,BEDFORD AVENUE,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,2,0,0,3
Brooklyn,BEDFORD-NOSTRAND AVENUES,G,G,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,5,6
Brooklyn,BERGEN STREET,"2,3",2,3,NA,NA,NA,NA,NA,2018,1,0,0,0,1,0,0,1
Brooklyn,BERGEN STREET,"F,G",F,G,NA,NA,NA,NA,NA,2018,1,0,0,0,0,0,1,1
Brooklyn,BEVERLY ROAD,"2,5",2,5,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Brooklyn,BOROUGH HALL,"2,3,4,5",2,3,4,5,NA,NA,NA,2018,1,0,0,14,3,0,1,18
Brooklyn,BRIGHTON BEACH,"B,Q",B,Q,NA,NA,NA,NA,NA,2018,1,0,0,2,0,0,2,4
Brooklyn,BROADWAY-EAST NEW YORK,"A,C",A,C,NA,NA,NA,NA,NA,2018,1,0,0,3,1,0,0,4
Brooklyn,CARROLL STREET,"F,G",F,G,NA,NA,NA,NA,NA,2018,1,0,0,0,0,0,1,1
Brooklyn,CHURCH AVENUE,"2,5",2,5,NA,NA,NA,NA,NA,2018,1,0,0,6,0,0,0,6
Brooklyn,CHURCH AVENUE,"B,Q",B,Q,NA,NA,NA,NA,NA,2018,1,0,0,1,1,0,0,2
Brooklyn,CLINTON-WASHINGTON AVENUES,C,C,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,1,2
Brooklyn,DEKALB AVENUE,"B,Q,R",B,Q,R,NA,NA,NA,NA,2018,1,0,0,5,0,0,1,6
Brooklyn,DEKALB AVENUE,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,3,0,2,5
Brooklyn,EASTERN PKWY-BROOKLYN MUSEUM,"2,3",2,3,NA,NA,NA,NA,NA,2018,1,0,0,2,0,0,0,2
Brooklyn,EUCLID AVENUE,"A,C",A,C,NA,NA,NA,NA,NA,2018,1,0,0,12,2,0,1,15
Brooklyn,FLATBUSH AVE.-BROOKLYN COLLEGE,"2,5",2,5,NA,NA,NA,NA,NA,2018,1,0,0,3,1,0,0,4
Brooklyn,FLUSHING AVENUE,G,G,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,1,0,0,1
Brooklyn,FLUSHING AVENUE,"J,M",J,M,NA,NA,NA,NA,NA,2018,1,0,0,1,1,0,0,2
Brooklyn,FORT HAMILTON PKWY,D,D,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,2,0,0,2
Brooklyn,FRANKLIN AVENUE,"2,3,4,5",2,3,4,5,NA,NA,NA,2018,1,0,0,4,0,0,0,4
Brooklyn,FRANKLIN AVENUE,C,C,NA,NA,NA,NA,NA,NA,2018,1,0,0,7,2,0,0,9
Brooklyn,FULTON STREET,G,G,NA,NA,NA,NA,NA,NA,2018,1,0,0,2,0,0,0,2
Brooklyn,GATES AVENUE,"J,Z",J,Z,NA,NA,NA,NA,NA,2018,1,0,0,4,0,0,1,5
Brooklyn,GRAHAM AVENUE,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,0,3,0,0,0,3
Brooklyn,GRAND ARMY PLAZA,"2,3",2,3,NA,NA,NA,NA,NA,2018,1,0,0,1,1,0,0,2
Brooklyn,GREENPOINT AVENUE,G,G,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Brooklyn,HIGH STREET,"A,C",A,C,NA,NA,NA,NA,NA,2018,1,0,0,2,0,0,0,2
Brooklyn,HOYT STREET,"2,3",2,3,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Brooklyn,HOYT-SCHERMERHORN,"A,C,G",A,C,G,NA,NA,NA,NA,2018,1,0,0,11,3,0,2,16
Brooklyn,JAY STREET-BOROUGH HALL,"A,C,F",A,C,F,NA,NA,NA,NA,2018,1,0,1,38,13,0,3,55
Brooklyn,JEFFERSON STREET,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Brooklyn,JUNIUS STREET,3,3,NA,NA,NA,NA,NA,NA,2018,1,0,0,3,0,0,0,3
Brooklyn,KINGS HIGHWAY,"B,Q",B,Q,NA,NA,NA,NA,NA,2018,1,0,0,4,3,0,3,10
Brooklyn,KINGSTON-THROOP AVENUES,C,C,NA,NA,NA,NA,NA,NA,2018,1,0,0,4,0,0,0,4
Brooklyn,KOSCIUSKO STREET,J,J,NA,NA,NA,NA,NA,NA,2018,1,0,0,9,0,0,3,12
Brooklyn,LAFAYETTE AVENUE,C,C,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,1,0,0,1
Brooklyn,LAWRENCE STREET,R,R,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Brooklyn,LIVONIA AVENUE,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,0,5,1,0,0,6
Brooklyn,LORIMER STREET,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,3,0,0,4
Brooklyn,MARCY AVENUE,"J,M,Z",J,M,Z,NA,NA,NA,NA,2018,1,0,0,1,3,0,0,4
Brooklyn,MONTROSE AVENUE,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,0,7,1,0,1,9
Brooklyn,MORGAN AVENUE,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,1,6,3,0,2,12
Brooklyn,MYRTLE AVENUE,"J,M,Z",J,M,Z,NA,NA,NA,NA,2018,1,0,1,3,0,0,0,4
Brooklyn,MYRTLE-WILLOUGHBY AVENUES,G,G,NA,NA,NA,NA,NA,NA,2018,1,0,0,3,1,0,0,4
Brooklyn,NEVINS STREET,"2,3,4,5",2,3,4,5,NA,NA,NA,2018,1,0,0,13,0,0,0,13
Brooklyn,NEWKIRK AVENUE,"B,Q",B,Q,NA,NA,NA,NA,NA,2018,1,0,1,2,1,0,2,6
Brooklyn,NORWOOD AVENUE,"J,Z",J,Z,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Brooklyn,NOSTRAND AVENUE,3,3,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Brooklyn,NOSTRAND AVENUE,"A,C",A,C,NA,NA,NA,NA,NA,2018,1,0,0,18,9,0,0,27
Brooklyn,OCEAN PKWY,Q,Q,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,0,0,2,2
Brooklyn,PACIFIC STREET,"D,N,R",D,N,R,NA,NA,NA,NA,2018,1,0,0,2,0,0,0,2
Brooklyn,PARKSIDE AVENUE,Q,Q,NA,NA,NA,NA,NA,NA,2018,1,0,0,3,0,0,1,4
Brooklyn,PENNSYLVANIA AVENUE,3,3,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Brooklyn,PRESIDENT STREET,"2,5",2,5,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Brooklyn,PROSPECT PARK,"B,Q,S",B,Q,S,NA,NA,NA,NA,2018,1,0,0,2,1,0,0,3
Brooklyn,RALPH AVENUE,C,C,NA,NA,NA,NA,NA,NA,2018,1,0,0,7,2,0,0,9
Brooklyn,ROCKAWAY AVENUE,3,3,NA,NA,NA,NA,NA,NA,2018,1,0,0,13,0,0,0,13
Brooklyn,ROCKAWAY AVENUE,C,C,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Brooklyn,ROCKAWAY PKWY-CANARSIE,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,0,20,2,0,0,22
Brooklyn,SARATOGA AVENUE,3,3,NA,NA,NA,NA,NA,NA,2018,1,0,0,10,1,0,0,11
Brooklyn,SHEEPSHEAD BAY,"B,Q",B,Q,NA,NA,NA,NA,NA,2018,1,0,0,6,2,0,4,12
Brooklyn,SMITH-9 STREETS,"F,G",F,G,NA,NA,NA,NA,NA,2018,1,0,0,1,2,0,1,4
Brooklyn,STERLING STREET,"2,5",2,5,NA,NA,NA,NA,NA,2018,1,0,0,2,0,0,0,2
Brooklyn,STILLWELL AVENUE-CONEY ISLAND,"D,F,N,Q",D,F,N,Q,NA,NA,NA,2018,1,0,0,22,10,0,3,35
Brooklyn,SUTTER AVENUE,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,0,9,0,0,0,9
Brooklyn,SUTTER AVENUE-RUTLAND ROAD,3,3,NA,NA,NA,NA,NA,NA,2018,1,0,0,10,0,0,0,10
Brooklyn,UTICA AVE.-CROWN HEIGHTS,"3,4",3,4,NA,NA,NA,NA,NA,2018,1,0,0,30,3,0,0,33
Brooklyn,UTICA AVENUE,"A,C",A,C,NA,NA,NA,NA,NA,2018,1,0,0,53,3,0,0,56
Brooklyn,VAN SICLEN AVENUE,3,3,NA,NA,NA,NA,NA,NA,2018,1,0,0,4,0,0,0,4
Brooklyn,VAN SICLEN AVENUE,C,C,NA,NA,NA,NA,NA,NA,2018,1,0,0,9,2,0,0,11
Brooklyn,VAN SICLEN AVENUE,"J,Z",J,Z,NA,NA,NA,NA,NA,2018,1,0,0,0,1,0,1,2
Brooklyn,WEST 8 STREET-NY AQUARIUM,"Q,F",Q,F,NA,NA,NA,NA,NA,2018,1,0,0,0,1,0,0,1
Brooklyn,WILSON AVENUE,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,1,0,0,1
Brooklyn,WINTHROP STREET,"2,5",2,5,NA,NA,NA,NA,NA,2018,1,0,0,7,0,0,0,7
Brooklyn,WYCKOFF AVENUE,M,M,NA,NA,NA,NA,NA,NA,2018,1,0,0,3,1,0,1,5
Manhattan,1 AVENUE,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,0,5,0,0,0,5
Manhattan,103 STREET,6,6,NA,NA,NA,NA,NA,NA,2018,1,0,0,5,3,0,0,8
Manhattan,110 ST.-CATHEDRAL PKWY.,"B,C",B,C,NA,NA,NA,NA,NA,2018,1,0,0,2,2,0,0,4
Manhattan,110 ST.-CENTRAL PARK NORTH,"2,3",2,3,NA,NA,NA,NA,NA,2018,1,0,0,6,2,0,0,8
Manhattan,110 STREET,6,6,NA,NA,NA,NA,NA,NA,2018,1,0,0,13,7,0,1,21
Manhattan,116 STREET,"2,3",2,3,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Manhattan,116 STREET,6,6,NA,NA,NA,NA,NA,NA,2018,1,0,0,24,25,0,1,50
Manhattan,116 STREET,"B,C",B,C,NA,NA,NA,NA,NA,2018,1,0,0,4,1,0,0,5
Manhattan,125 STREET,"2,3",2,3,NA,NA,NA,NA,NA,2018,1,0,0,4,2,1,0,7
Manhattan,125 STREET,"4,5,6",4,5,6,NA,NA,NA,NA,2018,1,0,0,33,24,0,1,58
Manhattan,125 STREET,"A,B,C,D",A,B,C,D,NA,NA,NA,2018,1,0,0,12,5,0,0,17
Manhattan,135 STREET,"2,3",2,3,NA,NA,NA,NA,NA,2018,1,0,0,18,2,0,0,20
Manhattan,135 STREET,"B,C",B,C,NA,NA,NA,NA,NA,2018,1,0,0,2,0,0,0,2
Manhattan,137 ST.-CITY COLLEGE,1,1,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,1,0,0,1
Manhattan,14 ST.-UNION SQUARE,L,L,NA,NA,NA,NA,NA,NA,2018,1,0,0,6,2,0,0,8
Manhattan,14 STREET,"1,2,3",1,2,3,NA,NA,NA,NA,2018,1,0,0,1,1,1,0,3
Manhattan,14 STREET,"4,5,6",4,5,6,NA,NA,NA,NA,2018,1,0,0,3,1,0,0,4
Manhattan,14 STREET,"A,C,E",A,C,E,NA,NA,NA,NA,2018,1,0,1,1,0,0,0,2
Manhattan,14 STREET,"F,M",F,M,NA,NA,NA,NA,NA,2018,1,0,0,0,0,0,1,1
Manhattan,145 STREET,3,3,NA,NA,NA,NA,NA,NA,2018,1,0,0,3,0,0,0,3
Manhattan,145 STREET,"A,B,C,D",A,B,C,D,NA,NA,NA,2018,1,0,0,5,5,0,0,10
Manhattan,157 STREET,1,1,NA,NA,NA,NA,NA,NA,2018,1,0,0,2,3,0,1,6
Manhattan,168 ST.-WASHINGTON HTS.,1,1,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Manhattan,168 ST.-WASHINGTON HTS.,"A,C",A,C,NA,NA,NA,NA,NA,2018,1,0,0,3,7,0,0,10
Manhattan,175 STREET,A,A,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,1,0,0,1
Manhattan,181 STREET,1,1,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,1,0,0,1
Manhattan,181 STREET,A,A,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,1,0,0,1
Manhattan,191 STREET,1,1,NA,NA,NA,NA,NA,NA,2018,1,0,0,1,0,0,0,1
Manhattan,2 AVENUE,F,F,NA,NA,NA,NA,NA,NA,2018,1,0,0,8,4,0,1,13
Manhattan,200 ST.-DYCKMAN ST.,A,A,NA,NA,NA,NA,NA,NA,2018,1,0,0,0,1,0,0,1
